geneID	geneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000165684	SNAPC4	2032.85764585482	0.334415170238583	0.0621042229527886	5.38474123559688	7.25489431949028e-08	0.000239133408260932
ENSG00000101216	GMEB2	781.83079477503	0.601178711526621	0.113358625403951	5.30333452248853	1.13706277048974e-07	0.000321252720171079
ENSG00000152620	NADK2	5549.06062854704	0.250126635880335	0.0485204395487892	5.15507769934406	2.53525782849948e-07	0.000626747425927928
ENSG00000123352	SPATS2	3266.93290653807	0.37591783259661	0.0776014388621494	4.84421214488545	1.27115058562218e-06	0.00228541319380453
ENSG00000272333	KMT2B	1030.30193198323	-0.404634916620505	0.0880117857500292	-4.59750831291786	4.27573573594067e-06	0.00582134167214398
ENSG00000112893	MAN2A1	6334.95771978356	0.311216731830852	0.0677912078391779	4.59081261052549	4.41523613703594e-06	0.00582134167214398
ENSG00000155256	ZFYVE27	2491.26930925066	-0.221197820389515	0.0487778708126733	-4.53479860240321	5.76584766850241e-06	0.00712694808374826
ENSG00000142733	MAP3K6	857.17139905745	-0.379287124903161	0.0855379820024183	-4.43413692986629	9.24418613286898e-06	0.0101567927305417
ENSG00000272325	NUDT3	2702.69691892813	0.338310139639074	0.0789699415293981	4.28403685107366	1.83532493904536e-05	0.0191038006944738
ENSG00000159658	EFCAB14	1908.62028792864	-0.400266700582457	0.0937133646050348	-4.27118055433635	1.94440900582266e-05	0.0192272884540774
ENSG00000276776	TC2N	1046.68837042326	0.402121250424544	0.0950038706953844	4.23268281051291	2.30920074345845e-05	0.02037294754757
ENSG00000137492	THAP12	2712.74368194111	-0.324878820517319	0.0829297564550444	-3.91751808282993	8.94653365884571e-05	0.0565051583777553
ENSG00000100263	RHBDD3	1185.65854096896	-0.262243564323305	0.067030826435943	-3.91228302360129	9.14276719466133e-05	0.0565051583777553
ENSG00000119138	KLF9	862.089291088199	0.328989700881278	0.0846649779669	3.88578263151379	0.000102000745011654	0.0611293555786509
ENSG00000119508	NR4A3	1063.29625674981	-0.348315059269317	0.0905700207144948	-3.84580964563668	0.000120155019240881	0.0698913475154971
ENSG00000116761	CTH	5934.13173977276	0.292206714624923	0.077170515703125	3.7865072166816	0.000152779660953606	0.0839312042966517
ENSG00000087338	GMCL1	1300.32558379741	0.325205089250367	0.0862176974462248	3.7719064517259	0.000162004997564255	0.0846771698877424
ENSG00000087502	ERGIC2	4064.25466802287	-0.336053724896415	0.0906753595759338	-3.70611957281509	0.000210458967913006	0.0986295550253309
ENSG00000022567	SLC45A4	2616.56096239205	-0.252974173358036	0.0681768021996818	-3.71056085348656	0.00020680057625619	0.0986295550253309
